format,dataset,task,trans,feature,label,l_pre,l_mp,l_post,stage,agg,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
OGB,ogbg,graph,False,,,1,6,2,skipsum,add,46,0.1358,0.0,616360.0,0.0977,0.0,0.9641,0.0,0.6471,0.0,0.0893,0.0,0.1569,0.0,0.7391,0.0
OGB,ogbg,graph,False,,,1,6,2,skipsum,max,93,0.0972,0.0,616360.0,0.0579,0.0,0.9729,0.0,0.7938,0.0,0.375,0.0,0.5094,0.0,0.8727,0.0
OGB,ogbg,graph,False,,,1,6,2,skipsum,mean,85,0.1134,0.0,616360.0,0.0942,0.0,0.9685,0.0,0.7115,0.0,0.2662,0.0,0.3875,0.0,0.8223,0.0
OGB,ogbg,graph,False,,,1,6,3,skipconcat,add,61,0.1285,0.0,631794.0,0.122,0.0,0.9652,0.0,0.6693,0.0,0.1396,0.0,0.231,0.0,0.7787,0.0
OGB,ogbg,graph,False,,,1,6,3,skipconcat,max,33,0.1327,0.0,631794.0,0.1374,0.0,0.9629,0.0,0.5355,0.0,0.0674,0.0,0.1197,0.0,0.7464,0.0
OGB,ogbg,graph,False,,,1,6,3,skipconcat,mean,81,0.1235,0.0,631794.0,0.11,0.0,0.9667,0.0,0.7054,0.0,0.1924,0.0,0.3023,0.0,0.7883,0.0
OGB,ogbg,graph,False,,,1,6,3,skipsum,add,85,0.109,0.0,617088.0,0.1015,0.0,0.9701,0.0,0.7515,0.0,0.2995,0.0,0.4283,0.0,0.8287,0.0
OGB,ogbg,graph,False,,,1,6,3,skipsum,max,70,0.1187,0.0,617088.0,0.072,0.0,0.9665,0.0,0.6534,0.0,0.2265,0.0,0.3363,0.0,0.8024,0.0
OGB,ogbg,graph,False,,,1,6,3,skipsum,mean,96,0.1185,0.0,617088.0,0.0996,0.0,0.9661,0.0,0.701,0.0,0.1656,0.0,0.2679,0.0,0.8289,0.0
OGB,ogbg,graph,False,,,1,8,2,skipconcat,add,51,0.1334,0.0,624042.0,0.1121,0.0,0.9647,0.0,0.6902,0.0,0.1031,0.0,0.1794,0.0,0.7627,0.0
OGB,ogbg,graph,False,,,1,8,2,skipconcat,max,50,0.1264,0.0,624042.0,0.0844,0.0,0.9646,0.0,0.6269,0.0,0.1364,0.0,0.224,0.0,0.7852,0.0
OGB,ogbg,graph,False,,,1,8,2,skipconcat,mean,67,0.1274,0.0,624042.0,0.0866,0.0,0.9654,0.0,0.6971,0.0,0.1364,0.0,0.2281,0.0,0.7909,0.0
OGB,ogbg,graph,False,,,1,8,2,skipsum,add,78,0.1245,0.0,617258.0,0.1359,0.0,0.9667,0.0,0.713,0.0,0.1875,0.0,0.2969,0.0,0.7847,0.0
OGB,ogbg,graph,False,,,1,8,2,skipsum,max,99,0.1025,0.0,617258.0,0.0899,0.0,0.9709,0.0,0.7745,0.0,0.3149,0.0,0.4478,0.0,0.8703,0.0
OGB,ogbg,graph,False,,,1,8,2,skipsum,mean,82,0.1299,0.0,617258.0,0.0733,0.0,0.965,0.0,0.6695,0.0,0.1282,0.0,0.2153,0.0,0.7717,0.0
OGB,ogbg,graph,False,,,1,8,3,skipconcat,add,97,0.1177,0.0,633435.0,0.1329,0.0,0.9677,0.0,0.7206,0.0,0.224,0.0,0.3418,0.0,0.8129,0.0
OGB,ogbg,graph,False,,,1,8,3,skipconcat,max,20,0.1354,0.0,633435.0,0.0806,0.0,0.9632,0.0,0.6351,0.0,0.0381,0.0,0.072,0.0,0.7456,0.0
OGB,ogbg,graph,False,,,1,8,3,skipconcat,mean,56,0.1373,0.0,633435.0,0.1891,0.0,0.9643,0.0,0.64,0.0,0.1039,0.0,0.1788,0.0,0.7323,0.0
OGB,ogbg,graph,False,,,1,8,3,skipsum,add,92,0.112,0.0,616051.0,0.1264,0.0,0.9688,0.0,0.7358,0.0,0.2622,0.0,0.3866,0.0,0.8362,0.0
OGB,ogbg,graph,False,,,1,8,3,skipsum,max,67,0.1137,0.0,616051.0,0.1015,0.0,0.9683,0.0,0.6863,0.0,0.2841,0.0,0.4018,0.0,0.8274,0.0
OGB,ogbg,graph,False,,,1,8,3,skipsum,mean,76,0.1219,0.0,616051.0,0.0733,0.0,0.9653,0.0,0.6358,0.0,0.1729,0.0,0.2719,0.0,0.8068,0.0
OGB,ogbg,graph,False,,,2,2,2,skipconcat,add,62,0.1347,0.0,619138.0,0.0474,0.0,0.9643,0.0,0.6526,0.0,0.1006,0.0,0.1744,0.0,0.7669,0.0
OGB,ogbg,graph,False,,,2,2,2,skipconcat,max,34,0.1375,0.0,619138.0,0.0518,0.0,0.9637,0.0,0.6418,0.0,0.0698,0.0,0.1259,0.0,0.7527,0.0
OGB,ogbg,graph,False,,,2,2,2,skipconcat,mean,56,0.1392,0.0,619138.0,0.062,0.0,0.964,0.0,0.6623,0.0,0.0812,0.0,0.1446,0.0,0.7212,0.0
OGB,ogbg,graph,False,,,2,2,2,skipsum,add,90,0.1179,0.0,617318.0,0.0551,0.0,0.9678,0.0,0.7598,0.0,0.2054,0.0,0.3233,0.0,0.8156,0.0
OGB,ogbg,graph,False,,,2,2,2,skipsum,max,94,0.1147,0.0,617318.0,0.0628,0.0,0.9688,0.0,0.7871,0.0,0.2281,0.0,0.3537,0.0,0.83,0.0
OGB,ogbg,graph,False,,,2,2,2,skipsum,mean,54,0.1394,0.0,617318.0,0.0517,0.0,0.9634,0.0,0.5864,0.0,0.0771,0.0,0.1363,0.0,0.7216,0.0
OGB,ogbg,graph,False,,,2,2,3,skipconcat,add,37,0.1382,0.0,620897.0,0.1044,0.0,0.9642,0.0,0.6626,0.0,0.0877,0.0,0.1548,0.0,0.724,0.0
OGB,ogbg,graph,False,,,2,2,3,skipconcat,max,83,0.1224,0.0,620897.0,0.0426,0.0,0.9667,0.0,0.7157,0.0,0.1818,0.0,0.29,0.0,0.8072,0.0
OGB,ogbg,graph,False,,,2,2,3,skipconcat,mean,67,0.1365,0.0,620897.0,0.0551,0.0,0.9636,0.0,0.6,0.0,0.0877,0.0,0.153,0.0,0.755,0.0
OGB,ogbg,graph,False,,,2,2,3,skipsum,add,54,0.1373,0.0,617638.0,0.0728,0.0,0.9641,0.0,0.6244,0.0,0.1039,0.0,0.1781,0.0,0.7232,0.0
OGB,ogbg,graph,False,,,2,2,3,skipsum,max,13,0.1404,0.0,617638.0,0.1018,0.0,0.9636,0.0,0.6423,0.0,0.0641,0.0,0.1166,0.0,0.719,0.0
OGB,ogbg,graph,False,,,2,2,3,skipsum,mean,62,0.1389,0.0,617638.0,0.0714,0.0,0.9637,0.0,0.625,0.0,0.0771,0.0,0.1373,0.0,0.737,0.0
OGB,ogbg,graph,False,,,2,4,2,skipconcat,add,77,0.1352,0.0,616382.0,0.076,0.0,0.9648,0.0,0.7039,0.0,0.1023,0.0,0.1786,0.0,0.7476,0.0
OGB,ogbg,graph,False,,,2,4,2,skipconcat,max,37,0.1346,0.0,616382.0,0.1076,0.0,0.964,0.0,0.6424,0.0,0.086,0.0,0.1518,0.0,0.7636,0.0
OGB,ogbg,graph,False,,,2,4,2,skipconcat,mean,74,0.1373,0.0,616382.0,0.0453,0.0,0.9638,0.0,0.6108,0.0,0.0917,0.0,0.1595,0.0,0.7368,0.0
OGB,ogbg,graph,False,,,2,4,2,skipsum,add,89,0.1195,0.0,618232.0,0.0788,0.0,0.9677,0.0,0.7515,0.0,0.2062,0.0,0.3236,0.0,0.8093,0.0
OGB,ogbg,graph,False,,,2,4,2,skipsum,max,85,0.1152,0.0,618232.0,0.0745,0.0,0.9687,0.0,0.741,0.0,0.2508,0.0,0.3748,0.0,0.8161,0.0
OGB,ogbg,graph,False,,,2,4,2,skipsum,mean,67,0.1299,0.0,618232.0,0.0684,0.0,0.965,0.0,0.6441,0.0,0.1469,0.0,0.2393,0.0,0.768,0.0
OGB,ogbg,graph,False,,,2,4,3,skipconcat,add,81,0.1261,0.0,616268.0,0.1173,0.0,0.9663,0.0,0.6845,0.0,0.1867,0.0,0.2934,0.0,0.7822,0.0
OGB,ogbg,graph,False,,,2,4,3,skipconcat,max,69,0.1233,0.0,616268.0,0.0831,0.0,0.9656,0.0,0.6592,0.0,0.1664,0.0,0.2657,0.0,0.7965,0.0
OGB,ogbg,graph,False,,,2,4,3,skipconcat,mean,47,0.1376,0.0,616268.0,0.1329,0.0,0.9642,0.0,0.6368,0.0,0.1039,0.0,0.1786,0.0,0.7303,0.0
OGB,ogbg,graph,False,,,2,4,3,skipsum,add,50,0.1347,0.0,617640.0,0.0707,0.0,0.9647,0.0,0.6731,0.0,0.1136,0.0,0.1944,0.0,0.7456,0.0
OGB,ogbg,graph,False,,,2,4,3,skipsum,max,53,0.1237,0.0,617640.0,0.1244,0.0,0.9655,0.0,0.6571,0.0,0.1664,0.0,0.2655,0.0,0.7961,0.0
OGB,ogbg,graph,False,,,2,4,3,skipsum,mean,84,0.1186,0.0,617640.0,0.0413,0.0,0.9668,0.0,0.686,0.0,0.211,0.0,0.3228,0.0,0.8131,0.0
