format,dataset,task,trans,feature,label,l_pre,l_mp,l_post,stage,agg,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
OGB,ogbg,graph,False,,,1,2,2,skipconcat,add,99,0.1191,0.0,616233.0,0.0876,0.0,0.9667,0.0,0.7129,0.0,0.1834,0.0,0.2918,0.0,0.8247,0.0
OGB,ogbg,graph,False,,,1,2,2,skipconcat,max,99,0.1203,0.0,616233.0,0.0987,0.0,0.9674,0.0,0.759,0.0,0.1891,0.0,0.3028,0.0,0.8198,0.0
OGB,ogbg,graph,False,,,1,2,2,skipconcat,mean,99,0.1224,0.0,616233.0,0.054,0.0,0.9681,0.0,0.802,0.0,0.1972,0.0,0.3166,0.0,0.808,0.0
OGB,ogbg,graph,False,,,1,2,2,skipsum,add,99,0.1133,0.0,618244.0,0.0566,0.0,0.9691,0.0,0.7744,0.0,0.2451,0.0,0.3724,0.0,0.8321,0.0
OGB,ogbg,graph,False,,,1,2,2,skipsum,max,99,0.1106,0.0,618244.0,0.0817,0.0,0.9689,0.0,0.7574,0.0,0.2508,0.0,0.3768,0.0,0.849,0.0
OGB,ogbg,graph,False,,,1,2,2,skipsum,mean,99,0.1133,0.0,618244.0,0.1021,0.0,0.9685,0.0,0.7481,0.0,0.2386,0.0,0.3618,0.0,0.8385,0.0
OGB,ogbg,graph,False,,,1,2,3,skipconcat,add,99,0.1133,0.0,617690.0,0.0418,0.0,0.9683,0.0,0.7405,0.0,0.2362,0.0,0.3582,0.0,0.8384,0.0
OGB,ogbg,graph,False,,,1,2,3,skipconcat,max,99,0.1064,0.0,617690.0,0.044,0.0,0.9701,0.0,0.7655,0.0,0.2914,0.0,0.4221,0.0,0.8594,0.0
OGB,ogbg,graph,False,,,1,2,3,skipconcat,mean,99,0.1214,0.0,617690.0,0.076,0.0,0.967,0.0,0.7231,0.0,0.1907,0.0,0.3019,0.0,0.8089,0.0
OGB,ogbg,graph,False,,,1,2,3,skipsum,add,99,0.1184,0.0,617318.0,0.0801,0.0,0.968,0.0,0.7296,0.0,0.2321,0.0,0.3522,0.0,0.817,0.0
OGB,ogbg,graph,False,,,1,2,3,skipsum,max,99,0.1047,0.0,617318.0,0.0737,0.0,0.9708,0.0,0.7755,0.0,0.3084,0.0,0.4413,0.0,0.8607,0.0
OGB,ogbg,graph,False,,,1,2,3,skipsum,mean,99,0.113,0.0,617318.0,0.0869,0.0,0.9685,0.0,0.7088,0.0,0.2687,0.0,0.3896,0.0,0.8294,0.0
OGB,ogbg,graph,False,,,1,4,2,skipconcat,add,99,0.1181,0.0,619436.0,0.0475,0.0,0.9678,0.0,0.7277,0.0,0.2256,0.0,0.3445,0.0,0.8223,0.0
OGB,ogbg,graph,False,,,1,4,2,skipconcat,max,99,0.1065,0.0,619436.0,0.068,0.0,0.9705,0.0,0.7745,0.0,0.3011,0.0,0.4337,0.0,0.8592,0.0
OGB,ogbg,graph,False,,,1,4,2,skipconcat,mean,99,0.12,0.0,619436.0,0.0417,0.0,0.9674,0.0,0.7477,0.0,0.1948,0.0,0.3091,0.0,0.8177,0.0
OGB,ogbg,graph,False,,,1,4,2,skipsum,add,99,0.1042,0.0,618752.0,0.056,0.0,0.9713,0.0,0.7967,0.0,0.3149,0.0,0.4514,0.0,0.8543,0.0
OGB,ogbg,graph,False,,,1,4,2,skipsum,max,99,0.0923,0.0,618752.0,0.0794,0.0,0.9743,0.0,0.8224,0.0,0.3985,0.0,0.5369,0.0,0.8903,0.0
OGB,ogbg,graph,False,,,1,4,2,skipsum,mean,99,0.1135,0.0,618752.0,0.0573,0.0,0.9695,0.0,0.7651,0.0,0.267,0.0,0.3959,0.0,0.8224,0.0
OGB,ogbg,graph,False,,,1,4,3,skipconcat,add,99,0.1089,0.0,619040.0,0.0793,0.0,0.9704,0.0,0.7829,0.0,0.2898,0.0,0.423,0.0,0.8448,0.0
OGB,ogbg,graph,False,,,1,4,3,skipconcat,max,99,0.108,0.0,619040.0,0.0435,0.0,0.9691,0.0,0.764,0.0,0.2549,0.0,0.3822,0.0,0.8554,0.0
OGB,ogbg,graph,False,,,1,4,3,skipconcat,mean,99,0.1125,0.0,619040.0,0.0789,0.0,0.9688,0.0,0.7634,0.0,0.2435,0.0,0.3692,0.0,0.8307,0.0
OGB,ogbg,graph,False,,,1,4,3,skipsum,add,99,0.1067,0.0,618232.0,0.0761,0.0,0.97,0.0,0.7803,0.0,0.2768,0.0,0.4086,0.0,0.8695,0.0
OGB,ogbg,graph,False,,,1,4,3,skipsum,max,99,0.0928,0.0,618232.0,0.0766,0.0,0.9741,0.0,0.8159,0.0,0.3994,0.0,0.5362,0.0,0.8874,0.0
OGB,ogbg,graph,False,,,1,4,3,skipsum,mean,99,0.1092,0.0,618232.0,0.0763,0.0,0.9694,0.0,0.7557,0.0,0.2711,0.0,0.399,0.0,0.8504,0.0
OGB,ogbg,graph,False,,,1,6,2,skipconcat,add,99,0.1197,0.0,618263.0,0.1121,0.0,0.9674,0.0,0.7469,0.0,0.1964,0.0,0.3111,0.0,0.8175,0.0
OGB,ogbg,graph,False,,,1,6,2,skipconcat,max,99,0.1026,0.0,618263.0,0.068,0.0,0.9708,0.0,0.7705,0.0,0.3133,0.0,0.4455,0.0,0.8623,0.0
OGB,ogbg,graph,False,,,1,6,2,skipconcat,mean,99,0.1165,0.0,618263.0,0.0578,0.0,0.9679,0.0,0.7573,0.0,0.2102,0.0,0.3291,0.0,0.8302,0.0
OGB,ogbg,graph,False,,,1,6,2,skipsum,add,99,0.1058,0.0,616360.0,0.1619,0.0,0.9703,0.0,0.79,0.0,0.2808,0.0,0.4144,0.0,0.8554,0.0
