bone marrow,NK-cell
classical monocyte,eosinophil
adipose tissue,NK-cell
bone marrow,placenta
adipose tissue,MAIT T-cell
classical monocyte,salivary gland
bone marrow,adipose tissue
classical monocyte,MAIT T-cell
adipose tissue,T-reg
adipose tissue,salivary gland
adipose tissue,eosinophil
bone marrow,MAIT T-cell
bone marrow,T-reg
classical monocyte,T-reg
classical monocyte,placenta
bone marrow,intestine
classical monocyte,plasmacytoid DC
classical monocyte,intestine
classical monocyte,NK-cell
adipose tissue,plasmacytoid DC
classical monocyte,adipose tissue
bone marrow,salivary gland
adipose tissue,placenta
adipose tissue,intestine
bone marrow,basophil
classical monocyte,basophil
bone marrow,eosinophil
adipose tissue,basophil
bone marrow,plasmacytoid DC
